key	en	de	nl	fr	ru	es	pt	it	zh-Hans	ja	ko	ar	th	vi	tr	pl	ms	id
q03_opt_C	Server Time around 21:00 - 22:00	Serverzeit ca. 21:00?22:00	Servertijd rond 21:00?22:00	Heure du serveur vers 21:00?22:00	Серверное время около 21:00?22:00	Hora del servidor alrededor de 21:00?22:00	Hor?rio do servidor por volta de 21:00?22:00	Ora server intorno alle 21:00?22:00	服?器?? 大? 21:00?22:00	サーバー時間 おおよそ 21:00～22:00	?? ?? ?? 21:00?22:00	??? ?????? ??????? 21:00?22:00	????????????????????? 21:00?22:00	Gi? m?y ch? kho?ng 21:00?22:00	Sunucu saati yakla??k 21:00?22:00	Czas serwera oko?o 21:00?22:00	Masa pelayan sekitar 21:00?22:00	Waktu server sekitar 21:00?22:00
q03_opt_D	Anytime	Jederzeit	Altijd	? tout moment	В любое время	En cualquier momento	A qualquer momento	In qualsiasi momento	任何??	いつでも	??? ???	?? ?? ???	??????????	B?t k? l?c n?o	Her zaman	Udowolnej porze	Bila-bila masa	Kapan saja
q03_opt_E	N/A	nicht zutreffend	n.v.t.	sans objet	нет данных	No aplica	N/A	Non applicabile	不?用	該当なし	?? ??	??? ?????	?????	Kh?ng ?p d?ng	Ge?erli de?il	Nie dotyczy	Tidak berkenaan	Tidak berlaku
																		
q04_title	Please choose your first choice of day.	Bitte w?hle deinen bevorzugten Wochentag.	Kies je eerste voorkeursdag.	Veuillez choisir votre jour pr?f?r?.	"Пожалуйста, выберите желаемый день недели."	Elige tu d?a preferido.	Escolha o seu dia preferido.	Scegli il tuo giorno preferito.	第1希望の曜日を1つ選んでください。	第1希望の曜日を1つ選んでください。	? ??? ???? ??? ?????.	???? ?????? ????? ?????? ????? ????.	???????????????????????????????????????????????	Vui l?ng ch?n ng?y ?u ti?n 1.	L?tfen ilk tercih etti?iniz g?n? se?in.	Wybierz sw?j preferowany dzie?.	Sila pilih hari pilihan pertama anda.	Silakan pilih hari pilihan pertama Anda.
q04_opt_A	Monday	Montag	Maandag	Lundi	Понедельник	Lunes	Segunda-feira	Luned?	星期一	月曜日	???	???????	?????????	Th? hai	Pazartesi	Poniedzia?ek	Isnin	Senin
q04_opt_B	Tuesday	Dienstag	Dinsdag	Mardi	Вторник	Martes	Ter?a-feira	Marted?	星期二	火曜日	???	????????	?????????	Th? ba	Sal?	Wtorek	Selasa	Selasa
q04_opt_C	Wednesday	Mittwoch	Woensdag	Mercredi	Среда	Mi?rcoles	Quarta-feira	Mercoled?	星期三	水曜日	???	????????	??????	Th? t?	?ar?amba	?roda	Rabu	Rabu
q04_opt_D	Thursday	Donnerstag	Donderdag	Jeudi	Четверг	Jueves	Quinta-feira	Gioved?	星期四	木曜日	???	??????	???????????	Th? n?m	Per?embe	Czwartek	Khamis	Kamis
q04_opt_E	Friday	Freitag	Vrijdag	Vendredi	Пятница	Viernes	Sexta-feira	Venerd?	星期五	金曜日	???	??????	????????	Th? s?u	Cuma	Pi?tek	Jumaat	Jumat
q04_opt_F	Saturday	Samstag	Zaterdag	Samedi	Суббота	S?bado	S?bado	Sabato	星期六	土曜日	???	?????	????????	Th? b?y	Cumartesi	Sobota	Sabtu	Sabtu
q04_opt_G	Sunday	Sonntag	Zondag	Dimanche	Воскресенье	Domingo	Domingo	Domenica	星期日	日曜日	???	?????	??????????	Ch? nh?t	Pazar	Niedziela	Ahad	Minggu
q04_opt_H	Any day	Jeder Tag	Elke dag	N’importe quel jour	Любой день	Cualquier d?a	Qualquer dia	Qualsiasi giorno	任何一天	どの曜日でも	?? ????	?? ???	?????????	V?o b?t k? ng?y n?o	Herhangi bir g?n	Dowolny dzie?	Apa-apa hari	Hari apa saja
